Latitude (decimal degrees):	52.546
Longitude (decimal degrees):	11.399
Elevation (m):	41
Radiation database:	PVGIS-SARAH2


Slope: 10 deg. 
Azimuth: 99 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200227:1411,135980.0,171.63,19.89,5.41,2.07,0.0
20200227:1511,106520.0,140.72,12.88,5.24,1.38,0.0
20200227:1611,1450.0,8.94,4.73,4.86,0.76,0.0
20200227:1711,0.0,0.0,0.0,4.18,1.17,0.0
20200227:1811,0.0,0.0,0.0,3.28,1.24,0.0
20200227:1911,0.0,0.0,0.0,2.56,1.24,0.0
20200227:2011,0.0,0.0,0.0,1.7,1.31,0.0
20200227:2111,0.0,0.0,0.0,1.47,1.52,0.0
20200227:2211,0.0,0.0,0.0,1.45,1.72,0.0
20200227:2311,0.0,0.0,0.0,1.29,1.93,0.0
20200228:0011,0.0,0.0,0.0,1.06,2.34,0.0
20200228:0111,0.0,0.0,0.0,0.53,2.69,0.0
20200228:0211,0.0,0.0,0.0,0.26,3.03,0.0
20200228:0311,0.0,0.0,0.0,0.33,3.38,0.0
20200228:0411,0.0,0.0,0.0,0.66,3.79,0.0
20200228:0511,0.0,0.0,0.0,1.12,3.93,0.0
20200228:0611,0.0,0.0,0.0,1.32,4.0,0.0
20200228:0711,39910.0,60.29,8.78,1.54,4.48,0.0
20200228:0811,104810.0,149.42,16.5,2.37,3.72,0.0
20200228:0911,198490.0,250.95,22.86,3.69,6.28,0.0
20200228:1011,311490.0,377.96,27.32,4.92,6.07,0.0
20200228:1111,277540.0,329.91,29.38,5.87,5.45,0.0
20200228:1211,308650.0,365.35,28.78,6.89,5.93,0.0
20200228:1311,305300.0,362.7,25.59,7.34,5.72,0.0
20200228:1411,86220.0,115.62,20.21,7.44,5.24,0.0
20200228:1511,197530.0,250.52,13.18,7.15,4.69,0.0
20200228:1611,75670.0,119.85,5.02,6.3,3.52,0.0
20200228:1711,0.0,0.0,0.0,5.11,2.76,0.0
20200228:1811,0.0,0.0,0.0,4.13,2.55,0.0
20200228:1911,0.0,0.0,0.0,4.05,2.9,0.0
20200228:2011,0.0,0.0,0.0,3.89,3.24,0.0
20200228:2111,0.0,0.0,0.0,3.85,3.52,0.0
20200228:2211,0.0,0.0,0.0,3.77,3.86,0.0
20200228:2311,0.0,0.0,0.0,3.29,4.14,0.0
20200229:0011,0.0,0.0,0.0,2.26,4.55,0.0
20200229:0111,0.0,0.0,0.0,1.6,4.83,0.0
20200229:0211,0.0,0.0,0.0,1.65,4.41,0.0
20200229:0311,0.0,0.0,0.0,2.4,4.0,0.0
20200229:0411,0.0,0.0,0.0,3.52,4.0,0.0
20200229:0511,0.0,0.0,0.0,4.47,4.21,0.0
20200229:0611,0.0,0.0,0.0,5.06,4.21,0.0
20200229:0711,14840.0,29.65,8.78,5.13,4.14,0.0
20200229:0811,92380.0,124.14,16.5,5.82,4.34,0.0
20200229:0911,143840.0,182.09,22.86,6.97,4.34,0.0
20200229:1011,301540.0,374.31,27.32,8.04,3.45,0.0
20200229:1111,375130.0,454.9,29.38,9.46,3.86,0.0
20200229:1211,337210.0,409.22,28.78,11.46,3.93,0.0
20200229:1311,354090.0,431.41,25.59,12.66,4.41,0.0
20200229:1411,65020.0,93.42,20.21,13.16,4.83,0.0
20200229:1511,119180.0,159.88,13.18,13.11,5.03,0.0
20200229:1611,6960.0,18.88,5.02,12.62,4.83,0.0
20200229:1711,0.0,0.0,0.0,12.44,5.45,0.0
20200229:1811,0.0,0.0,0.0,11.42,6.0,0.0
20200229:1911,0.0,0.0,0.0,9.93,6.14,0.0
20200229:2011,0.0,0.0,0.0,8.34,5.52,0.0
20200229:2111,0.0,0.0,0.0,7.15,4.76,0.0
20200229:2211,0.0,0.0,0.0,6.38,4.55,0.0
20200229:2311,0.0,0.0,0.0,5.85,4.55,0.0
20200301:0011,0.0,0.0,0.0,5.65,4.62,0.0
20200301:0111,0.0,0.0,0.0,5.58,4.83,0.0
20200301:0211,0.0,0.0,0.0,5.49,4.69,0.0
20200301:0311,0.0,0.0,0.0,5.25,4.41,0.0
20200301:0411,0.0,0.0,0.0,5.0,4.28,0.0
20200301:0511,0.0,0.0,0.0,4.82,4.28,0.0
20200301:0611,0.0,0.0,0.0,4.78,4.28,0.0
20200301:0711,34320.0,54.36,9.12,4.96,4.21,0.0
20200301:0811,94280.0,152.75,16.85,6.19,3.45,0.0
20200301:0911,170780.0,215.06,23.23,7.38,4.55,0.0
20200301:1011,127360.0,162.56,27.7,8.19,5.72,0.0
20200301:1111,274900.0,331.27,29.77,9.21,5.86,0.0
20200301:1211,347570.0,415.31,29.15,9.73,5.66,0.0
20200301:1311,296340.0,355.97,25.94,9.48,5.31,0.0
20200301:1411,310020.0,375.78,20.54,9.53,5.31,0.0
20200301:1511,188650.0,241.36,13.48,9.54,4.76,0.0
20200301:1611,78000.0,122.34,5.3,8.82,3.93,0.0
20200301:1711,0.0,0.0,0.0,7.92,3.1,0.0
20200301:1811,0.0,0.0,0.0,7.01,2.62,0.0
20200301:1911,0.0,0.0,0.0,6.34,2.62,0.0
20200301:2011,0.0,0.0,0.0,6.19,2.55,0.0
20200301:2111,0.0,0.0,0.0,5.71,2.55,0.0
20200301:2211,0.0,0.0,0.0,5.48,2.34,0.0
20200301:2311,0.0,0.0,0.0,5.24,2.14,0.0
20200302:0011,0.0,0.0,0.0,4.96,2.07,0.0
20200302:0111,0.0,0.0,0.0,4.69,2.0,0.0
20200302:0211,0.0,0.0,0.0,4.69,1.79,0.0
20200302:0311,0.0,0.0,0.0,4.87,1.45,0.0
20200302:0411,0.0,0.0,0.0,5.03,0.83,0.0
20200302:0511,0.0,0.0,0.0,5.14,2.07,0.0
20200302:0611,0.0,0.0,0.0,4.78,3.31,0.0
20200302:0711,43430.0,65.23,9.46,4.51,2.69,0.0
20200302:0811,90000.0,156.33,17.21,4.99,3.79,0.0
20200302:0911,217850.0,288.9,23.6,5.78,4.28,0.0
20200302:1011,261940.0,317.96,28.08,6.63,3.45,0.0
20200302:1111,389660.0,470.1,30.15,7.75,2.69,0.0
20200302:1211,408880.0,493.58,29.52,8.6,2.07,0.0
20200302:1311,404240.0,489.39,26.29,8.93,2.0,0.0
20200302:1411,344760.0,421.35,20.86,9.19,2.41,0.0
20200302:1511,244040.0,310.53,13.78,9.12,2.9,0.0
20200302:1611,39780.0,66.45,5.59,8.44,2.69,0.0
20200302:1711,0.0,0.0,0.0,7.36,2.76,0.0
20200302:1811,0.0,0.0,0.0,6.59,2.69,0.0
20200302:1911,0.0,0.0,0.0,6.17,2.76,0.0
20200302:2011,0.0,0.0,0.0,5.9,2.62,0.0
20200302:2111,0.0,0.0,0.0,5.57,2.21,0.0
20200302:2211,0.0,0.0,0.0,5.2,1.86,0.0
20200302:2311,0.0,0.0,0.0,4.95,1.66,0.0
20200303:0011,0.0,0.0,0.0,4.77,1.59,0.0
20200303:0111,0.0,0.0,0.0,4.5,1.45,0.0
20200303:0211,0.0,0.0,0.0,4.32,1.24,0.0
20200303:0311,0.0,0.0,0.0,4.1,0.97,0.0
20200303:0411,0.0,0.0,0.0,3.68,0.97,0.0
20200303:0511,0.0,0.0,0.0,3.62,0.76,0.0
20200303:0611,0.0,0.0,0.0,4.07,0.14,0.0
20200303:0711,43000.0,65.09,9.81,3.69,1.17,0.0
20200303:0811,109520.0,145.71,17.57,4.67,2.07,0.0
20200303:0911,88500.0,117.28,23.97,5.09,3.38,0.0
20200303:1011,175590.0,214.82,28.46,5.18,4.34,0.0
20200303:1111,230470.0,275.75,30.53,5.23,4.69,0.0
20200303:1211,238160.0,284.14,29.9,5.54,5.03,0.0
20200303:1311,281330.0,334.08,26.64,6.29,4.62,0.0
20200303:1411,187890.0,230.77,21.19,7.1,4.07,0.0
20200303:1511,168110.0,213.72,14.09,7.46,3.31,0.0
20200303:1611,43660.0,70.47,5.87,7.02,2.48,0.0
20200303:1711,0.0,0.0,0.0,5.94,2.21,0.0
20200303:1811,0.0,0.0,0.0,4.75,2.28,0.0
20200303:1911,0.0,0.0,0.0,3.87,2.41,0.0
20200303:2011,0.0,0.0,0.0,3.4,2.76,0.0
20200303:2111,0.0,0.0,0.0,2.99,2.76,0.0
20200303:2211,0.0,0.0,0.0,2.64,2.62,0.0
20200303:2311,0.0,0.0,0.0,2.3,2.55,0.0
20200304:0011,0.0,0.0,0.0,2.13,2.41,0.0
20200304:0111,0.0,0.0,0.0,1.96,2.34,0.0
20200304:0211,0.0,0.0,0.0,1.71,2.28,0.0
20200304:0311,0.0,0.0,0.0,1.58,2.28,0.0
20200304:0411,0.0,0.0,0.0,1.43,2.28,0.0
20200304:0511,0.0,0.0,0.0,1.3,2.28,0.0
20200304:0611,0.0,0.0,0.0,1.3,2.21,0.0
20200304:0711,47330.0,69.73,10.16,0.82,2.28,0.0
20200304:0811,120730.0,159.26,17.93,2.47,2.34,0.0
20200304:0911,176680.0,217.93,24.35,4.09,3.45,0.0
20200304:1011,231950.0,279.19,28.85,5.09,3.79,0.0
20200304:1111,365030.0,432.93,30.92,5.95,3.59,0.0
20200304:1211,316600.0,375.45,30.27,6.29,3.52,0.0
20200304:1311,221860.0,268.05,26.99,6.72,3.72,0.0
20200304:1411,149270.0,186.89,21.51,6.96,3.86,0.0
20200304:1511,77710.0,106.28,14.39,6.9,3.1,0.0
20200304:1611,47870.0,75.46,6.16,6.56,2.21,0.0
20200304:1711,0.0,0.0,0.0,5.6,1.86,0.0
20200304:1811,0.0,0.0,0.0,4.48,2.07,0.0
20200304:1911,0.0,0.0,0.0,3.85,2.07,0.0
20200304:2011,0.0,0.0,0.0,3.53,2.21,0.0
20200304:2111,0.0,0.0,0.0,3.24,2.28,0.0
20200304:2211,0.0,0.0,0.0,2.93,2.34,0.0
20200304:2311,0.0,0.0,0.0,2.54,2.21,0.0
20200305:0011,0.0,0.0,0.0,2.2,1.93,0.0
20200305:0111,0.0,0.0,0.0,1.62,1.86,0.0
20200305:0211,0.0,0.0,0.0,1.04,1.79,0.0
20200305:0311,0.0,0.0,0.0,0.42,1.79,0.0
20200305:0411,0.0,0.0,0.0,-0.07,1.79,0.0
20200305:0511,0.0,0.0,0.0,-0.54,1.86,0.0
20200305:0611,0.0,0.0,0.0,-0.74,1.93,0.0
20200305:0711,21900.0,45.3,10.51,0.24,1.72,0.0
20200305:0811,107590.0,173.62,18.29,2.62,1.86,0.0
20200305:0911,225390.0,286.5,24.72,4.95,2.14,0.0
20200305:1011,340230.0,416.77,29.24,6.78,2.48,0.0
20200305:1111,394130.0,472.64,31.31,8.13,3.24,0.0
20200305:1211,342450.0,409.16,30.65,8.84,3.86,0.0
20200305:1311,212250.0,259.95,27.35,9.42,4.14,0.0
20200305:1411,202780.0,250.03,21.84,9.3,3.72,0.0
20200305:1511,158980.0,203.32,14.69,9.09,3.38,0.0
20200305:1611,40840.0,66.19,6.44,8.54,3.17,0.0
20200305:1711,0.0,0.0,0.0,7.83,3.31,0.0
20200305:1811,0.0,0.0,0.0,7.26,3.45,0.0
20200305:1911,0.0,0.0,0.0,7.22,4.07,0.0
20200305:2011,0.0,0.0,0.0,6.9,4.21,0.0
20200305:2111,0.0,0.0,0.0,6.63,4.14,0.0
20200305:2211,0.0,0.0,0.0,6.29,3.93,0.0
20200305:2311,0.0,0.0,0.0,5.7,3.79,0.0
20200306:0011,0.0,0.0,0.0,4.64,3.52,0.0
20200306:0111,0.0,0.0,0.0,3.8,3.24,0.0
20200306:0211,0.0,0.0,0.0,3.6,3.17,0.0
20200306:0311,0.0,0.0,0.0,3.56,3.31,0.0
20200306:0411,0.0,0.0,0.0,3.5,3.38,0.0
20200306:0511,0.0,0.0,0.0,3.43,3.38,0.0
20200306:0611,140.0,5.93,2.22,3.43,3.24,0.0
20200306:0711,44160.0,66.27,10.86,4.09,2.97,0.0
20200306:0811,79520.0,107.2,18.66,4.37,2.62,0.0
20200306:0911,75450.0,102.37,25.1,4.77,3.03,0.0
20200306:1011,67500.0,93.42,29.63,5.1,2.9,0.0
20200306:1111,49290.0,72.55,31.7,5.95,2.76,0.0
20200306:1211,29410.0,48.7,31.02,6.57,1.86,0.0
20200306:1311,88320.0,118.27,27.7,7.0,1.72,0.0
20200306:1411,153060.0,192.05,22.17,7.1,1.86,0.0
20200306:1511,81480.0,110.74,14.99,6.75,1.72,0.0
20200306:1611,10590.0,23.85,6.73,6.23,2.0,0.0
20200306:1711,0.0,0.0,0.0,5.54,2.48,0.0
20200306:1811,0.0,0.0,0.0,4.72,2.76,0.0
20200306:1911,0.0,0.0,0.0,3.53,2.69,0.0
20200306:2011,0.0,0.0,0.0,2.96,3.38,0.0
20200306:2111,0.0,0.0,0.0,2.73,3.31,0.0
20200306:2211,0.0,0.0,0.0,2.8,3.31,0.0
20200306:2311,0.0,0.0,0.0,2.93,3.31,0.0
20200307:0011,0.0,0.0,0.0,3.05,3.52,0.0
20200307:0111,0.0,0.0,0.0,3.18,3.79,0.0
20200307:0211,0.0,0.0,0.0,3.3,4.07,0.0
20200307:0311,0.0,0.0,0.0,3.34,4.28,0.0
20200307:0411,0.0,0.0,0.0,3.32,4.41,0.0
20200307:0511,0.0,0.0,0.0,3.19,4.28,0.0
20200307:0611,0.0,3.95,2.57,2.98,4.14,0.0
20200307:0711,45970.0,74.4,11.22,3.15,4.34,0.0
20200307:0811,101460.0,131.72,19.03,3.64,5.72,0.0
20200307:0911,224730.0,275.79,25.49,4.67,5.45,0.0
20200307:1011,335700.0,400.73,30.02,5.75,5.31,0.0
20200307:1111,292230.0,346.84,32.09,6.69,5.17,0.0
20200307:1211,247650.0,297.14,31.4,7.49,4.97,0.0
20200307:1311,285590.0,340.38,28.05,7.88,5.03,0.0
20200307:1411,246280.0,296.92,22.49,7.63,4.55,0.0
20200307:1511,151870.0,192.29,15.29,7.44,4.69,0.0
20200307:1611,24240.0,42.82,7.01,6.98,3.52,0.0
20200307:1711,0.0,0.0,0.0,6.2,2.62,0.0
20200307:1811,0.0,0.0,0.0,5.32,2.21,0.0
20200307:1911,0.0,0.0,0.0,4.62,2.0,0.0
20200307:2011,0.0,0.0,0.0,4.36,2.0,0.0
20200307:2111,0.0,0.0,0.0,4.12,2.21,0.0
20200307:2211,0.0,0.0,0.0,4.23,2.34,0.0
20200307:2311,0.0,0.0,0.0,4.41,2.41,0.0
20200308:0011,0.0,0.0,0.0,4.5,2.48,0.0
20200308:0111,0.0,0.0,0.0,4.12,2.55,0.0
20200308:0211,0.0,0.0,0.0,3.77,2.76,0.0
20200308:0311,0.0,0.0,0.0,3.67,2.83,0.0
20200308:0411,0.0,0.0,0.0,3.83,2.83,0.0
20200308:0511,0.0,0.0,0.0,4.15,2.83,0.0
20200308:0611,0.0,2.97,2.91,4.52,2.9,0.0
20200308:0711,54200.0,78.99,11.57,4.71,2.97,0.0
20200308:0811,74510.0,101.83,19.4,5.65,2.83,0.0
20200308:0911,176900.0,220.31,25.87,7.49,3.52,0.0
20200308:1011,353880.0,432.3,30.41,9.18,3.79,0.0
20200308:1111,384830.0,463.23,32.48,10.55,4.07,0.0
20200308:1211,279770.0,339.73,31.78,11.43,4.41,0.0
20200308:1311,220050.0,271.24,28.41,11.76,4.48,0.0
20200308:1411,148870.0,189.95,22.82,11.84,4.62,0.0
20200308:1511,99060.0,133.28,15.59,11.49,3.79,0.0
20200308:1611,17380.0,33.79,7.29,10.98,3.31,0.0
20200308:1711,0.0,0.0,0.0,10.12,2.97,0.0
20200308:1811,0.0,0.0,0.0,9.33,2.76,0.0
20200308:1911,0.0,0.0,0.0,8.59,2.69,0.0
20200308:2011,0.0,0.0,0.0,8.05,2.55,0.0
20200308:2111,0.0,0.0,0.0,7.91,2.62,0.0
20200308:2211,0.0,0.0,0.0,7.83,2.62,0.0
20200308:2311,0.0,0.0,0.0,7.85,2.48,0.0
20200309:0011,0.0,0.0,0.0,7.82,2.41,0.0
20200309:0111,0.0,0.0,0.0,7.67,2.41,0.0
20200309:0211,0.0,0.0,0.0,7.36,2.48,0.0
20200309:0311,0.0,0.0,0.0,7.12,2.48,0.0
20200309:0411,0.0,0.0,0.0,6.97,2.48,0.0
20200309:0511,0.0,0.0,0.0,6.97,2.41,0.0
20200309:0611,0.0,3.95,3.26,6.87,2.55,0.0
20200309:0711,11220.0,24.85,11.93,7.32,2.48,0.0
20200309:0811,137670.0,183.61,19.77,7.83,2.83,0.0
20200309:0911,188380.0,234.78,26.26,8.23,3.1,0.0
20200309:1011,289480.0,351.07,30.81,8.9,3.72,0.0
20200309:1111,58510.0,84.48,32.88,9.61,4.21,0.0
20200309:1211,256460.0,311.28,32.16,10.16,4.14,0.0
20200309:1311,119290.0,155.18,28.76,10.48,4.0,0.0
20200309:1411,40870.0,63.61,23.14,10.46,3.72,0.0
20200309:1511,206060.0,259.02,15.89,10.28,3.45,0.0
20200309:1611,15320.0,30.81,7.58,9.61,3.1,0.0
20200309:1711,0.0,0.0,0.0,8.65,2.76,0.0
20200309:1811,0.0,0.0,0.0,7.75,2.76,0.0
20200309:1911,0.0,0.0,0.0,7.18,2.76,0.0
20200309:2011,0.0,0.0,0.0,6.57,2.76,0.0
20200309:2111,0.0,0.0,0.0,6.18,2.9,0.0
20200309:2211,0.0,0.0,0.0,5.67,2.83,0.0
20200309:2311,0.0,0.0,0.0,5.2,2.83,0.0
20200310:0011,0.0,0.0,0.0,4.75,2.83,0.0
20200310:0111,0.0,0.0,0.0,4.51,2.83,0.0
20200310:0211,0.0,0.0,0.0,4.11,2.97,0.0
20200310:0311,0.0,0.0,0.0,3.94,3.17,0.0
20200310:0411,0.0,0.0,0.0,4.23,3.52,0.0
20200310:0511,0.0,0.0,0.0,4.65,3.79,0.0
20200310:0611,130.0,5.93,3.62,4.83,4.07,0.0
20200310:0711,48580.0,82.59,12.29,5.05,4.9,0.0
20200310:0811,109450.0,141.74,20.14,5.2,5.24,0.0
20200310:0911,41150.0,62.61,26.64,5.23,5.24,0.0
20200310:1011,64020.0,89.45,31.2,5.54,4.83,0.0
20200310:1111,96130.0,126.22,33.27,6.11,4.69,0.0
20200310:1211,80010.0,108.33,32.54,6.92,4.62,0.0
20200310:1311,132310.0,168.24,29.11,8.3,5.1,0.0
20200310:1411,59550.0,85.47,23.47,9.05,4.9,0.0
20200310:1511,42060.0,64.6,16.19,8.79,4.9,0.0
20200310:1611,14690.0,29.82,7.86,8.55,4.9,0.0
20200310:1711,0.0,0.0,0.0,9.05,4.97,0.0
20200310:1811,0.0,0.0,0.0,9.81,5.1,0.0
20200310:1911,0.0,0.0,0.0,10.03,5.52,0.0
20200310:2011,0.0,0.0,0.0,10.71,5.86,0.0
20200310:2111,0.0,0.0,0.0,11.11,5.93,0.0
20200310:2211,0.0,0.0,0.0,11.11,6.34,0.0
20200310:2311,0.0,0.0,0.0,11.2,6.76,0.0
20200311:0011,0.0,0.0,0.0,11.14,6.55,0.0
20200311:0111,0.0,0.0,0.0,10.7,5.86,0.0
20200311:0211,0.0,0.0,0.0,10.06,5.86,0.0
20200311:0311,0.0,0.0,0.0,9.28,5.59,0.0
20200311:0411,0.0,0.0,0.0,8.65,4.9,0.0
20200311:0511,0.0,0.0,0.0,7.97,4.21,0.0
20200311:0611,2930.0,11.86,3.97,7.56,3.72,0.0
20200311:0711,64270.0,93.59,12.65,7.67,3.66,0.0
20200311:0811,145560.0,207.81,20.52,8.11,3.17,0.0
20200311:0911,244840.0,305.36,27.03,8.84,4.28,0.0
20200311:1011,318270.0,384.82,31.6,9.43,4.34,0.0
20200311:1111,215490.0,264.84,33.67,10.67,4.76,0.0
20200311:1211,64710.0,92.43,32.91,11.49,4.76,0.0
20200311:1311,184920.0,230.76,29.47,12.02,5.72,0.0
20200311:1411,295240.0,359.54,23.79,12.04,4.21,0.0
20200311:1511,267820.0,335.27,16.49,11.99,3.38,0.0
20200311:1611,83760.0,121.33,8.14,11.99,3.52,0.0
20200311:1711,0.0,0.0,0.0,11.13,3.31,0.0
20200311:1811,0.0,0.0,0.0,10.53,3.38,0.0
20200311:1911,0.0,0.0,0.0,9.52,3.38,0.0
20200311:2011,0.0,0.0,0.0,9.41,3.31,0.0
20200311:2111,0.0,0.0,0.0,9.44,3.66,0.0
20200311:2211,0.0,0.0,0.0,10.0,4.0,0.0
20200311:2311,0.0,0.0,0.0,10.44,4.07,0.0
20200312:0011,0.0,0.0,0.0,10.88,4.28,0.0
20200312:0111,0.0,0.0,0.0,10.65,4.55,0.0
20200312:0211,0.0,0.0,0.0,11.28,6.69,0.0
20200312:0311,0.0,0.0,0.0,11.76,6.9,0.0
20200312:0411,0.0,0.0,0.0,11.57,6.41,0.0
20200312:0511,0.0,0.0,0.0,11.41,7.1,0.0
20200312:0611,0.0,4.94,4.33,11.44,7.45,0.0
20200312:0711,37520.0,59.63,13.02,11.37,7.17,0.0
20200312:0811,146940.0,219.72,20.89,11.05,7.86,0.0
20200312:0911,278980.0,351.29,27.42,9.82,8.69,0.0
20200312:1011,145370.0,182.69,32.0,8.57,7.66,0.0
20200312:1111,472860.0,555.1,34.06,9.32,8.0,0.0
20200312:1211,481420.0,563.67,33.29,9.93,8.28,0.0
20200312:1311,413250.0,485.76,29.82,10.05,8.21,0.0
20200312:1411,312160.0,372.31,24.12,9.95,7.59,0.0
20200312:1511,275190.0,336.52,16.79,9.65,6.9,0.0
20200312:1611,116700.0,160.77,8.42,9.13,6.07,0.0
20200312:1711,0.0,0.0,0.0,8.33,5.1,0.0
20200312:1811,0.0,0.0,0.0,7.48,4.41,0.0
20200312:1911,0.0,0.0,0.0,7.16,3.93,0.0
20200312:2011,0.0,0.0,0.0,6.86,4.34,0.0
20200312:2111,0.0,0.0,0.0,6.44,4.62,0.0
20200312:2211,0.0,0.0,0.0,6.08,4.83,0.0
20200312:2311,0.0,0.0,0.0,5.73,4.62,0.0
20200313:0011,0.0,0.0,0.0,5.48,4.41,0.0
20200313:0111,0.0,0.0,0.0,5.32,4.48,0.0
20200313:0211,0.0,0.0,0.0,5.12,4.69,0.0
20200313:0311,0.0,0.0,0.0,5.07,4.97,0.0
20200313:0411,0.0,0.0,0.0,5.09,5.24,0.0
20200313:0511,0.0,0.0,0.0,5.22,5.52,0.0
20200313:0611,5310.0,15.81,4.68,5.36,5.72,0.0
20200313:0711,53410.0,94.14,13.38,5.24,5.59,0.0
20200313:0811,155320.0,222.03,21.27,5.91,6.41,0.0
20200313:0911,275640.0,338.22,27.81,6.74,9.1,0.0
20200313:1011,215060.0,259.35,32.4,7.26,8.21,0.0
20200313:1111,393900.0,461.5,34.46,8.28,8.07,0.0
20200313:1211,257070.0,307.11,33.67,8.5,8.14,0.0
20200313:1311,288700.0,340.99,30.17,7.69,8.0,0.0
20200313:1411,392920.0,461.11,24.44,8.21,7.72,0.0
20200313:1511,194190.0,239.43,17.09,8.1,6.97,0.0
20200313:1611,152110.0,204.5,8.7,7.89,5.86,0.0
20200313:1711,0.0,0.0,0.0,7.23,5.1,0.0
20200313:1811,0.0,0.0,0.0,6.52,4.76,0.0
20200313:1911,0.0,0.0,0.0,5.57,4.62,0.0
20200313:2011,0.0,0.0,0.0,4.98,4.28,0.0
20200313:2111,0.0,0.0,0.0,4.52,3.93,0.0
20200313:2211,0.0,0.0,0.0,4.17,3.45,0.0
20200313:2311,0.0,0.0,0.0,3.73,2.83,0.0
20200314:0011,0.0,0.0,0.0,3.44,2.21,0.0
20200314:0111,0.0,0.0,0.0,3.23,1.66,0.0
20200314:0211,0.0,0.0,0.0,3.05,1.24,0.0
20200314:0311,0.0,0.0,0.0,2.47,1.1,0.0
20200314:0411,0.0,0.0,0.0,1.67,0.9,0.0
20200314:0511,0.0,0.0,0.0,1.91,0.48,0.0
20200314:0611,16590.0,31.63,5.04,1.54,0.69,0.0
20200314:0711,36490.0,86.42,13.75,2.51,0.69,0.0
20200314:0811,162510.0,235.53,21.65,3.71,1.52,0.0
20200314:0911,302330.0,377.51,28.2,4.26,1.93,0.0
20200314:1011,349150.0,417.3,32.8,5.37,2.0,0.0
20200314:1111,493340.0,587.64,34.86,6.4,2.14,0.0
20200314:1211,521590.0,620.74,34.06,7.23,2.34,0.0
20200314:1311,504420.0,599.9,30.53,7.69,2.62,0.0
20200314:1411,412120.0,491.53,24.76,7.91,2.9,0.0
20200314:1511,317140.0,386.35,17.39,7.78,3.1,0.0
20200314:1611,114490.0,155.77,8.98,7.26,2.9,0.0
20200314:1711,0.0,0.0,0.0,6.19,2.69,0.0
20200314:1811,0.0,0.0,0.0,4.92,2.76,0.0
20200314:1911,0.0,0.0,0.0,4.52,2.83,0.0
20200314:2011,0.0,0.0,0.0,3.9,3.1,0.0
20200314:2111,0.0,0.0,0.0,3.46,3.31,0.0
20200314:2211,0.0,0.0,0.0,3.11,3.45,0.0
20200314:2311,0.0,0.0,0.0,2.83,3.59,0.0
20200315:0011,0.0,0.0,0.0,2.62,3.59,0.0
20200315:0111,0.0,0.0,0.0,2.48,3.52,0.0
20200315:0211,0.0,0.0,0.0,2.42,3.52,0.0
20200315:0311,0.0,0.0,0.0,2.44,3.66,0.0
20200315:0411,0.0,0.0,0.0,2.56,3.79,0.0
20200315:0511,0.0,0.0,0.0,2.72,3.86,0.0
20200315:0611,18760.0,34.59,5.4,2.93,3.86,0.0
20200315:0711,78890.0,111.3,14.11,4.03,3.93,0.0
20200315:0811,166630.0,215.13,22.03,5.76,3.93,0.0
20200315:0911,258770.0,317.09,28.59,7.7,4.48,0.0
20200315:1011,358370.0,430.4,33.2,9.5,4.83,0.0
20200315:1111,459420.0,547.57,35.25,10.82,5.03,0.0
20200315:1211,487230.0,580.41,34.44,11.7,5.17,0.0
20200315:1311,399820.0,478.99,30.88,12.46,5.31,0.0
20200315:1411,364970.0,440.46,25.08,12.77,5.24,0.0
20200315:1511,314070.0,388.61,17.69,12.58,4.55,0.0
20200315:1611,130790.0,179.2,9.26,12.04,3.86,0.0
20200315:1711,0.0,0.0,0.0,10.83,3.38,0.0
20200315:1811,0.0,0.0,0.0,9.42,3.1,0.0
20200315:1911,0.0,0.0,0.0,8.34,3.03,0.0
20200315:2011,0.0,0.0,0.0,7.55,2.9,0.0
20200315:2111,0.0,0.0,0.0,6.84,2.83,0.0
20200315:2211,0.0,0.0,0.0,6.41,2.76,0.0
20200315:2311,0.0,0.0,0.0,5.98,2.69,0.0
20200316:0011,0.0,0.0,0.0,5.84,2.62,0.0
20200316:0111,0.0,0.0,0.0,5.52,2.55,0.0
20200316:0211,0.0,0.0,0.0,5.21,2.41,0.0
20200316:0311,0.0,0.0,0.0,4.94,2.28,0.0
20200316:0411,0.0,0.0,0.0,4.53,2.14,0.0
20200316:0511,0.0,0.0,0.0,4.11,2.14,0.0
20200316:0611,15640.0,30.64,5.76,4.07,2.07,0.0
20200316:0711,43960.0,96.62,14.48,5.75,2.14,0.0
20200316:0811,167850.0,238.66,22.41,8.43,2.0,0.0
20200316:0911,287760.0,365.34,28.99,11.03,2.28,0.0
20200316:1011,402530.0,497.22,33.6,12.83,2.48,0.0
20200316:1111,458630.0,562.0,35.65,14.03,2.76,0.0
20200316:1211,496640.0,609.02,34.82,14.74,2.76,0.0
20200316:1311,470610.0,578.17,31.23,15.11,2.69,0.0
20200316:1411,264180.0,328.64,25.41,15.22,2.9,0.0
20200316:1511,300170.0,377.56,17.98,14.68,2.62,0.0
20200316:1611,138610.0,190.96,9.54,14.05,2.21,0.0
20200316:1711,0.0,0.0,0.0,12.67,1.93,0.0
20200316:1811,0.0,0.0,0.0,11.48,1.93,0.0
20200316:1911,0.0,0.0,0.0,10.43,2.0,0.0
20200316:2011,0.0,0.0,0.0,9.32,1.93,0.0
20200316:2111,0.0,0.0,0.0,8.33,1.66,0.0
